N,P,K,temperature,humidity,ph,rainfall,N_P_ratio,N_K_ratio,P_K_ratio,NPK_total,temp_humidity_index,rainfall_category,ph_category,label_encoded
7,13,29,24.56,76.89,6.95,40.23,0.5384614970414233,0.24137930202140337,0.4482758466111777,49,73.860024,0.0,2.0,10
22,66,51,24.83,92.08,7.42,137.16,0.33333332828282836,0.43137254056132274,1.2941176216839683,139,75.867944,2.0,2.0,16
3,33,26,25.89,65.12,7.28,34.23,0.09090908815427007,0.11538461094674572,1.269230720414203,62,74.594288,0.0,2.0,9
32,62,74,19.2711788,12.16095312,6.249375583,92.22718904,0.5161290239334029,0.43243242658875103,0.837837826515705,168,62.40932481025938,1.0,1.0,11
0,35,27,24.12,65.34,7.05,40.56,0.0,0.0,1.2962962482853242,62,72.047048,0.0,2.0,9
7,31,27,29.67,92.56,7.18,175.23,0.22580644432882438,0.2592592496570648,1.1481481056241443,65,84.269912,2.0,2.0,3
37,43,47,24.12,80.67,6.72,105.56,0.8604650962682536,0.7872340258035314,0.9148935975554554,127,73.537124,2.0,2.0,21
100,18,200,26.1899982,52.1283436,5.013863622,103.0069844,5.555555246913597,0.4999999975,0.08999999955,318,73.49792933212981,2.0,0.0,8
25,64,47,22.94,91.03,7.89,120.31,0.3906249938964845,0.5319148822996834,1.3617020986871895,136,72.52596199999999,2.0,3.0,16
48,58,47,29.35,65.18,6.69,75.46,0.8275861926278243,1.0212765740153922,1.2340425269352655,153,79.62441000000001,1.0,2.0,17
1,17,24,24.12,77.56,6.75,44.89,0.05882352595155729,0.041666664930555625,0.7083333038194456,42,73.23483200000001,0.0,2.0,10
1,36,28,22.78,66.89,7.35,42.12,0.027777777006172864,0.035714284438775556,1.28571423979592,65,70.229382,0.0,2.0,9
30,50,38,26.34,81.45,6.52,88.56,0.5999999880000003,0.7894736634349037,1.3157894390581728,118,77.19713,1.0,2.0,21
39,2,1,38.12,26.12,6.65,16.56,19.499990250004874,38.999961000039,1.9999980000020001,42,83.091664,0.0,2.0,19
19,61,24,26.78,53.78,6.08,78.56,0.3114754047299114,0.7916666336805569,2.5416665607638933,104,74.481964,1.0,1.0,5
21,67,75,20.76498922,14.29478038,6.508174822,75.84636538,0.3134328311427936,0.2799999962666667,0.8933333214222224,163,63.921852606209676,1.0,2.0,11
41,3,0,37.45,24.56,7.18,14.12,13.666662111112629,41000000.0,3000000.0,44,82.02108000000001,0.0,2.0,19
2,32,18,28.67,54.56,5.95,48.56,0.06249999804687507,0.11111110493827195,1.7777776790123512,52,77.121712,0.0,1.0,13
2,32,25,25.34,64.56,7.15,38.34,0.06249999804687507,0.07999999680000013,1.279999948800002,59,73.734864,0.0,2.0,9
32,58,50,24.16,90.75,7.38,145.87,0.5517241284185496,0.6399999872000003,1.1599999768000004,140,74.5852,2.0,2.0,16
12,17,49,27.56,81.78,6.08,130.89,0.7058823114186875,0.24489795418575605,0.3469387684298211,78,79.210248,2.0,1.0,1
98,52,36,24.01225938,82.10845498,7.547381932,203.2001907,1.8846153483727819,2.7222221466049406,1.444444404320989,186,73.50228516958813,3.0,3.0,20
