N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974372,82.00274423,6.502985292,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
94,53,40,20.27774362,82.89408619,5.718627177,241.9741498,rice
89,54,38,24.51588066,83.53521629,6.685346464,230.4462359,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
91,47,42,24.67451797,80.72886384,5.718417525,230.22422,rice
90,55,35,21.60588834,80.27389074,6.362607851,256.5528559,rice
78,36,43,24.11322399,81.83740888,7.576511622,285.7993805,rice
93,56,36,22.39265012,82.56654665,7.738488079,231.1656125,rice
94,50,37,20.72099498,84.12177337,5.589268439,291.2986618,rice
60,45,40,19.05027752,82.69749494,5.474830485,202.1340924,rice
85,38,38,22.90150879,84.18918498,5.908613498,263.0765362,rice
83,45,41,21.36658159,80.38863794,7.463094357,233.1075816,rice
73,40,39,23.67360049,82.30355102,5.623687646,240.6670497,rice
98,52,36,24.01225938,82.10845498,7.547381932,203.2001907,rice
81,55,25,23.94178879,81.36073498,6.149310508,277.9626192,rice
83,51,41,24.35928659,80.92178539,6.950206039,204.8004864,rice
73,40,38,22.77448264,82.8699402,6.284048851,229.1065298,rice
95,45,36,21.64483634,80.31668948,6.608590285,207.0613178,rice
81,44,35,25.62668378,83.52173801,5.298240069,218.1944091,rice
26,65,76,17.94169252,14.05858059,5.318437285,67.23953064,maize
29,65,70,22.22154584,13.48498442,6.362607851,47.89278058,maize
34,60,67,25.26585718,14.84325328,6.748516005,54.84396108,maize
32,62,74,19.2711788,12.16095312,6.249375583,92.22718904,maize
33,66,71,20.41284759,12.70111895,6.068516553,84.27750598,maize
53,62,63,21.16767019,15.05254468,5.411696849,130.3540788,maize
28,68,72,19.30508608,14.52662965,6.051367645,105.7543608,maize
27,60,68,25.65710909,15.35514345,6.226713424,95.32654704,maize
50,63,76,24.48519227,12.65948783,6.319946563,99.68773116,maize
29,69,69,18.86174448,14.97781498,5.759597416,121.1549632,maize
41,63,62,22.3764558,15.37702744,5.887237614,84.75965288,maize
32,62,76,16.65416454,15.41498654,5.656250108,86.55637078,maize
25,68,72,18.99020948,13.03875404,5.386581395,110.9548012,maize
37,68,77,25.89274068,14.78574558,5.651078498,73.72994128,maize
24,64,70,19.92816122,15.60068694,5.693655483,50.36297618,maize
40,60,65,22.78919368,11.7568074,5.981048558,113.8453468,maize
37,66,64,24.69163452,12.4116098,6.218652483,97.25348612,maize
21,67,75,20.76498922,14.29478038,6.508174822,75.84636538,maize
100,18,200,26.1899982,52.1283436,5.013863622,103.0069844,jute
91,22,179,25.63495403,51.44839137,4.619763798,94.56610624,jute
95,20,195,26.47049934,48.85426284,5.615048073,96.31261828,jute
100,26,194,24.13186913,52.94153674,5.853818885,106.5416924,jute
93,20,195,25.72652661,51.58095814,5.610963818,102.7026162,jute
103,22,192,27.34987474,50.77741788,5.413613165,105.5612138,jute
101,24,197,27.01289264,50.38779888,5.6386348,99.1050038,jute
96,21,201,25.94152432,48.4629498,4.876403198,98.6536488,jute
91,25,199,27.28016654,52.19694818,5.2485528,106.3524484,jute
93,25,188,23.74145164,49.21098218,5.098696184,102.6534218,jute
86,18,34,22.71838752,56.29427695,6.363078855,92.44450764,cotton
87,25,30,20.44072785,64.6098384,7.089784268,83.76178508,cotton
100,18,200,26.18,52.12,5.01,103.00,cotton
88,22,36,28.30025654,65.68042994,6.224412918,84.97221948,cotton
79,23,33,23.0102498,64.28858038,7.078684098,89.47874728,cotton
80,27,32,28.76786768,67.87234608,6.138613024,98.5610688,cotton
93,18,38,26.80534378,63.28948198,5.788963598,86.65748648,cotton
81,25,37,26.97813884,56.86798698,6.358917338,93.0468758,cotton
86,23,30,22.95798848,60.87629088,6.258471958,81.93564528,cotton
83,20,39,24.24862568,61.39618638,5.678928318,87.45168918,cotton
5,40,55,20.31321739,84.06846896,7.365344803,72.31040834,coconut
14,30,55,27.15098014,94.84454328,5.424529145,41.06141618,coconut
7,33,55,25.3959612,85.19510832,6.457593798,146.3893944,coconut
7,41,50,28.72400932,85.32946978,5.584044453,105.8050076,coconut
8,43,45,28.42158228,86.11614368,5.741050798,104.9218462,coconut
15,34,52,27.09016818,85.65248518,5.854816288,123.8516138,coconut
10,39,53,28.47185034,84.34818618,5.914849218,112.4156848,coconut
13,37,48,26.83894818,82.76818918,6.076489498,119.7568498,coconut
7,45,51,24.29489898,87.16898148,5.623854158,97.14618948,coconut
12,32,56,27.12164918,83.12549498,6.284896498,108.6528498,coconut
40,67,40,23.05,64.46,6.68,181.87,papaya
50,65,50,33.72,65.0,6.75,48.49,papaya
45,60,55,28.71,65.12,6.74,92.03,papaya
38,70,45,35.12,64.96,6.78,45.05,papaya
42,62,42,27.48,65.08,6.65,110.72,papaya
55,68,48,33.29,65.5,6.72,60.14,papaya
100,17,50,28.18,65.02,6.35,68.21,papaya
44,66,55,30.48,64.75,6.82,88.90,papaya
48,58,47,29.35,65.18,6.69,75.46,papaya
35,72,52,31.84,64.88,6.71,52.37,papaya
21,67,48,23.58,60.17,8.14,144.62,orange
29,62,52,22.31,92.56,7.50,112.85,orange
18,71,43,25.87,93.14,7.12,132.04,orange
25,64,47,22.94,91.03,7.89,120.31,orange
32,58,50,24.16,90.75,7.38,145.87,orange
27,69,45,23.72,91.49,7.65,128.93,orange
22,66,51,24.83,92.08,7.42,137.16,orange
